user_id,行为时间差,行为次数,AOV,R,F,Rscore,Fscore,RFM,User_Label
4913,30,1742,3.0,14.0,6.0,0.0,0.0,0.0,重要挽留客户
6118,28,117,3.0,13.0,1.0,0.0,0.0,0.0,重要挽留客户
7528,23,214,3.0,17.0,6.0,0.0,0.0,0.0,重要挽留客户
7591,29,859,2.9523809523809526,17.0,21.0,0.0,1.0,1.0,重要保持客户
12645,30,268,2.75,16.0,8.0,0.0,0.0,0.0,重要挽留客户
45368,14,36,,,,,,,
54056,19,38,3.0,23.0,2.0,1.0,0.0,10.0,重要发展客户
63348,23,251,3.0,19.0,1.0,1.0,0.0,10.0,重要发展客户
79824,30,663,2.923076923076923,14.0,13.0,0.0,0.0,0.0,重要挽留客户
88930,30,1604,2.9130434782608696,13.0,23.0,0.0,1.0,1.0,重要保持客户
90472,24,148,,,,,,,
100539,30,1082,3.0,15.0,18.0,0.0,1.0,1.0,重要保持客户
104155,28,396,3.0,14.0,4.0,0.0,0.0,0.0,重要挽留客户
109103,18,432,3.0,18.0,17.0,1.0,1.0,11.0,重要价值客户
113251,19,379,3.0,36.0,5.0,1.0,0.0,10.0,重要发展客户
113960,30,2009,2.6944444444444446,14.0,36.0,0.0,1.0,1.0,重要保持客户
114088,19,25,,,,,,,
120873,29,1596,3.0,12.0,3.0,0.0,0.0,0.0,重要挽留客户
134658,29,258,2.5,18.0,2.0,1.0,0.0,10.0,重要发展客户
151617,30,1969,3.0,12.0,29.0,0.0,1.0,1.0,重要保持客户
156608,26,564,3.0,30.0,9.0,1.0,0.0,10.0,重要发展客户
157097,29,1502,2.8666666666666667,17.0,15.0,0.0,1.0,1.0,重要保持客户
189833,30,3720,2.9615384615384617,14.0,26.0,0.0,1.0,1.0,重要保持客户
190327,30,696,2.857142857142857,22.0,7.0,1.0,0.0,10.0,重要发展客户
191366,26,1190,2.0,17.0,2.0,0.0,0.0,0.0,重要挽留客户
213655,16,2762,2.8666666666666667,13.0,15.0,0.0,1.0,1.0,重要保持客户
217996,30,72,3.0,18.0,2.0,1.0,0.0,10.0,重要发展客户
227293,30,961,3.0,12.0,8.0,0.0,0.0,0.0,重要挽留客户
230711,28,357,2.769230769230769,13.0,13.0,0.0,0.0,0.0,重要挽留客户
239485,26,262,2.75,17.0,8.0,0.0,0.0,0.0,重要挽留客户
247543,29,957,2.782608695652174,13.0,23.0,0.0,1.0,1.0,重要保持客户
250843,30,2199,2.75,17.0,28.0,0.0,1.0,1.0,重要保持客户
263670,30,604,3.0,22.0,1.0,1.0,0.0,10.0,重要发展客户
287170,18,61,,,,,,,
305685,22,134,,,,,,,
337191,27,302,3.0,18.0,4.0,1.0,0.0,10.0,重要发展客户
355287,16,987,3.0,19.0,4.0,1.0,0.0,10.0,重要发展客户
365699,29,605,2.6666666666666665,17.0,3.0,0.0,0.0,0.0,重要挽留客户
397142,30,1063,3.0,17.0,4.0,0.0,0.0,0.0,重要挽留客户
413178,25,1024,2.8,36.0,5.0,1.0,0.0,10.0,重要发展客户
414388,26,452,2.533333333333333,12.0,15.0,0.0,1.0,1.0,重要保持客户
418175,30,1185,2.7058823529411766,15.0,17.0,0.0,1.0,1.0,重要保持客户
429994,29,662,2.888888888888889,13.0,9.0,0.0,0.0,0.0,重要挽留客户
432337,29,897,3.0,14.0,6.0,0.0,0.0,0.0,重要挽留客户
450683,23,290,3.0,18.0,3.0,1.0,0.0,10.0,重要发展客户
475826,30,7004,2.918181818181818,13.0,110.0,0.0,1.0,1.0,重要保持客户
483640,25,509,2.9285714285714284,16.0,14.0,0.0,1.0,1.0,重要保持客户
493013,30,206,1.4545454545454546,31.0,11.0,1.0,0.0,10.0,重要发展客户
497764,30,4014,3.0,12.0,12.0,0.0,0.0,0.0,重要挽留客户
501286,30,1046,3.0,12.0,15.0,0.0,1.0,1.0,重要保持客户
511319,30,443,2.6666666666666665,12.0,6.0,0.0,0.0,0.0,重要挽留客户
521437,28,517,2.7083333333333335,18.0,24.0,1.0,1.0,11.0,重要价值客户
565533,30,1071,2.7333333333333334,22.0,15.0,1.0,1.0,11.0,重要价值客户
567790,29,51,2.5,26.0,2.0,1.0,0.0,10.0,重要发展客户
568881,28,418,3.0,16.0,1.0,0.0,0.0,0.0,重要挽留客户
595598,29,1712,,,,,,,
