user_id,R,F,Rscore,Fscore,RFM,User_Label
[4913],14,6,0,0,00,重要挽留客户
[6118],13,1,0,0,00,重要挽留客户
[7528],17,6,0,0,00,重要挽留客户
[7591],17,21,0,1,01,重要保持客户
[12645],16,8,0,0,00,重要挽留客户
[54056],23,2,1,0,10,重要发展客户
[63348],19,1,1,0,10,重要发展客户
[79824],14,13,0,0,00,重要挽留客户
[88930],13,23,0,1,01,重要保持客户
[100539],15,18,0,1,01,重要保持客户
[104155],14,4,0,0,00,重要挽留客户
[109103],18,17,1,1,11,重要价值客户
[113251],36,5,1,0,10,重要发展客户
[113960],14,36,0,1,01,重要保持客户
[120873],12,3,0,0,00,重要挽留客户
[134658],18,2,1,0,10,重要发展客户
[151617],12,29,0,1,01,重要保持客户
[156608],30,9,1,0,10,重要发展客户
[157097],17,15,0,1,01,重要保持客户
[189833],14,26,0,1,01,重要保持客户
[190327],22,7,1,0,10,重要发展客户
[191366],17,2,0,0,00,重要挽留客户
[213655],13,15,0,1,01,重要保持客户
[217996],18,2,1,0,10,重要发展客户
[227293],12,8,0,0,00,重要挽留客户
[230711],13,13,0,0,00,重要挽留客户
[239485],17,8,0,0,00,重要挽留客户
[247543],13,23,0,1,01,重要保持客户
[250843],17,28,0,1,01,重要保持客户
[263670],22,1,1,0,10,重要发展客户
[337191],18,4,1,0,10,重要发展客户
[355287],19,4,1,0,10,重要发展客户
[365699],17,3,0,0,00,重要挽留客户
[397142],17,4,0,0,00,重要挽留客户
[413178],36,5,1,0,10,重要发展客户
[414388],12,15,0,1,01,重要保持客户
[418175],15,17,0,1,01,重要保持客户
[429994],13,9,0,0,00,重要挽留客户
[432337],14,6,0,0,00,重要挽留客户
[450683],18,3,1,0,10,重要发展客户
[475826],13,110,0,1,01,重要保持客户
[483640],16,14,0,1,01,重要保持客户
[493013],31,11,1,0,10,重要发展客户
[497764],12,12,0,0,00,重要挽留客户
[501286],12,15,0,1,01,重要保持客户
[511319],12,6,0,0,00,重要挽留客户
[521437],18,24,1,1,11,重要价值客户
[565533],22,15,1,1,11,重要价值客户
[567790],26,2,1,0,10,重要发展客户
[568881],16,1,0,0,00,重要挽留客户
[608951],15,5,0,0,00,重要挽留客户
[611920],14,12,0,0,00,重要挽留客户
[632347],18,55,1,1,11,重要价值客户
[678552],36,1,1,0,10,重要发展客户
[704891],12,26,0,1,01,重要保持客户
[742065],18,4,1,0,10,重要发展客户
[754205],14,38,0,1,01,重要保持客户
[790713],18,11,1,0,10,重要发展客户
[801018],14,10,0,0,00,重要挽留客户
[807106],12,57,0,1,01,重要保持客户
[814199],17,22,0,1,01,重要保持客户
[819192],31,1,1,0,10,重要发展客户
[819791],15,3,0,0,00,重要挽留客户
[867381],12,37,0,1,01,重要保持客户
[876192],15,22,0,1,01,重要保持客户
[914729],13,7,0,0,00,重要挽留客户
[943095],38,1,1,0,10,重要发展客户
[985207],27,4,1,0,10,重要发展客户
[991563],14,22,0,1,01,重要保持客户
[1019952],13,9,0,0,00,重要挽留客户
[1022699],16,25,0,1,01,重要保持客户
[1022919],16,5,0,0,00,重要挽留客户
[1030408],17,10,0,0,00,重要挽留客户
[1034452],13,1,0,0,00,重要挽留客户
[1041761],14,6,0,0,00,重要挽留客户
[1050684],14,9,0,0,00,重要挽留客户
[1053725],18,7,1,0,10,重要发展客户
[1067578],15,7,0,0,00,重要挽留客户
[1081595],36,1,1,0,10,重要发展客户
[1091123],12,23,0,1,01,重要保持客户
[1105998],18,2,1,0,10,重要发展客户
[1112140],16,3,0,0,00,重要挽留客户
[1128409],13,16,0,1,01,重要保持客户
[1137672],13,26,0,1,01,重要保持客户
[1156843],18,12,1,0,10,重要发展客户
[1160607],12,60,0,1,01,重要保持客户
[1182380],16,10,0,0,00,重要挽留客户
[1183504],12,36,0,1,01,重要保持客户
[1188241],12,22,0,1,01,重要保持客户
[1206079],26,19,1,1,11,重要价值客户
[1211225],14,8,0,0,00,重要挽留客户
[1257131],17,17,0,1,01,重要保持客户
[1259845],18,25,1,1,11,重要价值客户
[1272577],13,6,0,0,00,重要挽留客户
[1275653],24,7,1,0,10,重要发展客户
[1334962],15,15,0,1,01,重要保持客户
[1344672],24,1,1,0,10,重要发展客户
[1364464],16,5,0,0,00,重要挽留客户
[1399592],33,10,1,0,10,重要发展客户
[1409005],13,59,0,1,01,重要保持客户
[1421162],16,4,0,0,00,重要挽留客户
[1439794],18,5,1,0,10,重要发展客户
[1485361],12,16,0,1,01,重要保持客户
[1486585],25,7,1,0,10,重要发展客户
[1498131],19,2,1,0,10,重要发展客户
[1532868],18,9,1,0,10,重要发展客户
[1533885],13,9,0,0,00,重要挽留客户
[1535240],18,1,1,0,10,重要发展客户
[1553407],16,1,0,0,00,重要挽留客户
[1588502],14,4,0,0,00,重要挽留客户
[1593616],17,5,0,0,00,重要挽留客户
[1619789],14,4,0,0,00,重要挽留客户
[1666891],12,2,0,0,00,重要挽留客户
[1673252],13,10,0,0,00,重要挽留客户
[1704058],16,4,0,0,00,重要挽留客户
[1724469],18,1,1,0,10,重要发展客户
[1725399],12,55,0,1,01,重要保持客户
[1760140],21,2,1,0,10,重要发展客户
[1769128],16,11,0,0,00,重要挽留客户
[1799885],12,8,0,0,00,重要挽留客户
[1805148],18,8,1,0,10,重要发展客户
[1805740],12,23,0,1,01,重要保持客户
[1806084],12,17,0,1,01,重要保持客户
[1820303],25,1,1,0,10,重要发展客户
[1824572],22,36,1,1,11,重要价值客户
[1825186],13,19,0,1,01,重要保持客户
[1834928],12,29,0,1,01,重要保持客户
